,L,T,Tmax,alpha,beta,clamp,conv_condition,conv_steps,conv_time,ctol_abs,ctol_rel,ht,ht_x,hx,hy_t,ixt,ixy,iyt,p0,ptol,repeat,repeats,zeroLtol
37,0.7952188832638373,3.0,90.0,0.1,0.6944444444444445,False,small_abs_changes,6.0,15.558982133865356,0.001,0.0,1.5849625007211547,4.3757306847220804e-07,6.491853096329676,9.106275959354445,1.5849620631480863,1.2764277255147896,1.1372307461280151,0.75,1e-08,0.0,1.0,1.0
38,0.7952188987974308,3.0,90.0,0.1,0.6944444444444445,True,small_abs_changes,7.0,15.562968969345093,0.001,0.0,1.584962500721156,0.0,6.491853096329676,9.106275918712296,1.584962500721156,1.2764277255147896,1.1372307867701643,0.75,1e-08,0.0,1.0,1.0
39,0.6372701769896219,3.0,90.0,0.1,0.8333333333333334,False,small_abs_changes_AND_cost_func_rel_inc,5.0,15.305735111236572,0.001,0.0,1.584962500721156,4.167803124758547e-08,6.491853096329676,9.106275922005983,1.5849624590431248,1.2764277255147896,1.1372307834764772,0.75,1e-08,0.0,1.0,1.0
40,0.6372701784126857,3.0,90.0,0.1,0.8333333333333334,True,small_abs_changes_AND_cost_func_rel_inc,6.0,15.309831142425537,0.001,0.0,1.584962500721156,0.0,6.491853096329676,9.106275918712296,1.584962500721156,1.2764277255147896,1.1372307867701643,0.75,1e-08,0.0,1.0,1.0
41,0.4477317138909003,3.0,90.0,0.1,1.0,False,small_abs_changes,6.0,15.694468021392822,0.001,0.0,1.584962500721156,1.760112883774574e-09,6.491853096329676,9.106275918828215,1.5849624989610431,1.2764277255147896,1.1372307866542446,0.75,1e-08,0.0,1.0,1.0
42,0.44773171395099176,3.0,90.0,0.1,1.0,True,small_abs_changes,7.0,15.69844388961792,0.001,0.0,1.584962500721156,0.0,6.491853096329676,9.106275918712296,1.584962500721156,1.2764277255147896,1.1372307867701643,0.75,1e-08,0.0,1.0,1.0
43,0.2202855565950721,3.0,90.0,0.1,1.2,False,small_abs_changes_AND_cost_func_rel_inc,5.0,15.614264011383057,0.001,0.0,1.584962500721156,5.7151052282216006e-11,6.491853096329676,9.106275918715486,1.5849625006640051,1.2764277255147896,1.137230786766974,0.75,1e-08,0.0,1.0,1.0
44,0.22028555659695903,3.0,90.0,0.1,1.2,True,small_abs_changes_AND_cost_func_rel_inc,6.0,15.618250846862793,0.001,0.0,1.584962500721156,0.0,6.491853096329676,9.106275918712296,1.584962500721156,1.2764277255147896,1.1372307867701643,0.75,1e-08,0.0,1.0,1.0
45,-0.05264983222789943,3.0,90.0,0.1,1.44,False,small_abs_changes,5.0,15.850234985351562,0.001,0.0,1.584962500721156,5.737094793133168e-13,6.491853096329676,9.106275918712322,1.5849625007205823,1.2764277255147896,1.1372307867701377,0.75,1e-08,0.0,1.0,1.0
46,-0.052649832227880555,3.0,90.0,0.1,1.44,True,small_abs_changes,6.0,15.854333877563477,0.001,0.0,1.584962500721156,0.0,6.491853096329676,9.106275918712296,1.584962500721156,1.2764277255147896,1.1372307867701643,0.75,1e-08,0.0,1.0,1.0
