,L,T,ht,ht_x,hy_t,ixt,iyt,step,step_time,hx,ixy,Tmax,beta,alpha,p0,ctol_abs,ctol_rel,ptol,zeroLtol,repeat,repeats
1,5.362260647203151,100.0,6.643657021692933,2.399837423070057,10.582472670100525,4.243819598622876,0.08147766295475378,0.0,0.08925604820251465,6.643856189774725,0.14436951559535238,100.0,1.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
2,3.3393855575623057,100.0,6.6380507364656545,6.588315537378705,10.659442922841283,0.04973519908694968,0.004507410213996366,1.0,12.030290126800537,6.643856189774725,0.14436951559535238,100.0,1.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
3,3.3115124662150834,100.0,6.6203975840495275,6.617171271576207,10.663650851008939,0.003226312473320725,0.0002994820463406711,2.0,11.411426067352295,6.643856189774725,0.14436951559535238,100.0,1.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
4,3.2787633172550223,100.0,6.557360617869814,6.557156368630587,10.663931216755781,0.0002042492392266837,1.911629949802318e-05,3.0,11.457085847854614,6.643856189774725,0.14436951559535238,100.0,1.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
5,3.1746384284088522,100.0,6.349267360708084,6.349255657736549,10.663949229624322,1.1702971534965911e-05,1.1034309572721668e-06,4.0,10.96949291229248,6.643856189774725,0.14436951559535238,100.0,1.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
6,2.8780504394766497,100.0,5.7561004167384295,5.756099846065389,10.663950278826194,5.706730403787219e-07,5.422908522234593e-08,5.0,11.346979856491089,6.643856189774725,0.14436951559535238,100.0,1.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
7,2.2150107701788952,100.0,4.430021521303455,4.430021497716655,10.663950330789048,2.3586799180463913e-08,2.2662316467858545e-09,6.0,11.283652067184448,6.643856189774725,0.14436951559535238,100.0,1.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
8,1.304876989056028,86.0,2.6097539774779634,2.6097539766912927,10.66395033297899,7.866707285586472e-10,7.628919718172256e-11,7.0,11.307636976242065,6.643856189774725,0.14436951559535238,100.0,1.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
9,0.6356138876797965,41.0,1.27122777534669,1.2712277753306749,10.663950333053723,1.6015189174822808e-11,1.5560885913146194e-12,8.0,9.619925022125244,6.643856189774725,0.14436951559535238,100.0,1.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
10,0.26536718912119994,13.0,0.5307343782423245,0.5307343782422349,10.663950333055272,8.959499808725013e-14,7.105427357601002e-15,9.0,4.616997003555298,6.643856189774725,0.14436951559535238,100.0,1.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
11,0.05505778927242595,5.0,0.11011557854485524,0.11011557854485501,10.663950333055277,2.220446049250313e-16,1.7763568394002505e-15,10.0,1.4672918319702148,6.643856189774725,0.14436951559535238,100.0,1.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
12,0.0014926189536458223,2.0,0.0029852379072915604,0.0029852379072914763,10.66395033305528,8.413408858487514e-17,0.0,11.0,0.580794095993042,6.643856189774725,0.14436951559535238,100.0,1.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
13,6.209697735915314e-07,2.0,1.2419395511041706e-06,1.2419395514725647e-06,10.663950333055277,-3.6839411051868207e-16,1.7763568394002505e-15,12.0,0.2444930076599121,6.643856189774725,0.14436951559535238,100.0,1.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
14,0.0,1.0,0.0,0.0,10.66395033305528,0.0,0.0,13.0,0.2430419921875,6.643856189774725,0.14436951559535238,100.0,1.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
15,5.281406977957814,100.0,6.64372376544548,2.3990269255022727,10.582548670687014,4.244696839943208,0.08140166236826474,0.0,0.10249805450439453,6.643856189774725,0.14436951559535238,100.0,2.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
16,3.3753833655799355,100.0,6.63304311278819,6.45165422750717,10.648034016327944,0.18138888528102015,0.015916316727334845,1.0,11.227262020111084,6.643856189774725,0.14436951559535238,100.0,2.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
17,3.3121722854376556,100.0,6.597423859852361,6.554823273726385,10.660030364279523,0.042600586125975504,0.0039199687757562884,2.0,11.022775888442993,6.643856189774725,0.14436951559535238,100.0,2.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
18,3.2482621939509873,100.0,6.490260326321545,6.4802633634271345,10.663017107726784,0.009996962894410544,0.0009332253284952685,3.0,10.377035140991211,6.643856189774725,0.14436951559535238,100.0,2.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
19,3.112731517140152,100.0,6.224122432923444,6.22197150215848,10.663747750703253,0.0021509307649640874,0.00020258235202597064,4.0,10.56874418258667,6.643856189774725,0.14436951559535238,100.0,2.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
20,2.8630546983176535,100.0,5.725835484518565,5.725393516524257,10.663908319085888,0.0004419679943081789,4.201396939151891e-05,5.0,10.263994932174683,6.643856189774725,0.14436951559535238,100.0,2.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
21,2.448042975581802,97.0,4.896026846195298,4.895930876860115,10.66394111696356,9.596933518274398e-05,9.216091719110864e-06,6.0,9.008010864257812,6.643856189774725,0.14436951559535238,100.0,2.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
22,1.8004448199854342,72.0,3.6008755197309457,3.6008524792170813,10.663948102986794,2.304051386436967e-05,2.2300684854315023e-06,7.0,8.86833906173706,6.643856189774725,0.14436951559535238,100.0,2.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
23,1.1910230664281445,49.0,2.3820425369259906,2.3820366575583667,10.663949762195948,5.879367623862208e-06,5.708593313613619e-07,8.0,6.176466941833496,6.643856189774725,0.14436951559535238,100.0,2.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
24,0.7076434338117922,21.0,1.4152862479031827,1.4152852341354973,10.663950234543458,1.0137676853538835e-06,9.851182092290856e-08,9.0,4.10052490234375,6.643856189774725,0.14436951559535238,100.0,2.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
25,0.2629159759174448,8.0,0.5258319216474953,0.525831872274161,10.663950328258794,4.937333430987678e-08,4.796484986968608e-09,10.0,1.8860499858856201,6.643856189774725,0.14436951559535238,100.0,2.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
26,0.032645611807832174,4.0,0.06529122347780314,0.06529122325316335,10.663950333033585,2.2463979287845603e-10,2.169464607959526e-11,11.0,0.7620391845703125,6.643856189774725,0.14436951559535238,100.0,2.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
27,0.00042897166760205924,3.0,0.0008579433351614628,0.00085794333508328,10.66395033305527,7.818279443988496e-14,8.881784197001252e-15,12.0,0.39641809463500977,6.643856189774725,0.14436951559535238,100.0,2.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
28,0.0,1.0,0.0,0.0,10.66395033305528,0.0,0.0,13.0,0.3023228645324707,6.643856189774725,0.14436951559535238,100.0,2.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
29,5.117542500225099,100.0,6.643700512878674,2.3991924854602615,10.582309890574418,4.244508027418412,0.081640442480861,0.0,0.08769583702087402,6.643856189774725,0.14436951559535238,100.0,4.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
30,3.419315821918838,100.0,6.634528623018363,6.0759809007106735,10.619644745369232,0.5585477223076891,0.04430558768604698,1.0,10.12052607536316,6.643856189774725,0.14436951559535238,100.0,4.0,0.5,0.75,0.001,0.0,1e-08,1.0,0.0,1.0
